"loc04_id";"loc04_loc03_id";"loc04_nam";"loc04_code";"x";"y"
172;82;"REUTLINGEN";"DE141";3527207.74846;5363158.98533
173;82;"TÜBINGEN";"DE142";3499094.90262;5371380.07578
174;82;"ZOLLERNALBKREIS";"DE143";3495566.71861;5347543.08452
175;82;"ULM";"DE144";3570447.6985;5361751.94536
176;82;"ALB-DONAU-KREIS";"DE145";3561264.2024;5362744.82844
177;82;"BIBERACH";"DE146";3557703.21573;5330094.47908
178;82;"BODENSEEKREIS";"DE147";3530069.52372;5288218.80084
179;82;"RAVENSBURG";"DE148";3558538.73092;5298735.94137
180;82;"SIGMARINGEN";"DE149";3518123.97608;5322241.70727
181;83;"INGOLSTADT";"DE211";3676143.3527;5404739.35858
182;83;"MÜNCHEN";"DE212";3689656.02701;5338211.88099
183;83;"ROSENHEIM";"DE213";3732703.37653;5305362.893
184;83;"ALTÖTTING";"DE214";3775414.15762;5347753.71515
185;83;"BERCHTESGADENER LAND";"DE215";3792760.7089;5291861.26069
186;83;"BAD TÖLZ-WOLFRATSHAUSEN";"DE216";3686398.41416;5290510.47774
187;83;"DACHAU";"DE217";3674794.82928;5357835.7269
188;83;"EBERSBERG";"DE218";3717192.01726;5330587.30929
189;83;"EICHSTÄTT";"DE219";3673843.03902;5420529.70587
190;83;"ERDING";"DE21A";3722764.34309;5355692.88309
191;83;"FREISING";"DE21B";3702846.95833;5371294.25684
192;83;"FÜRSTENFELDBRUCK";"DE21C";3663766.1921;5341173.39636
193;83;"GARMISCH-PARTENKIRCHEN";"DE21D";3660353.49272;5270787.56805
194;83;"LANDSBERG A. LECH";"DE21E";3645549.06791;5322461.25073
195;83;"MIESBACH";"DE21F";3710853.23925;5292932.71034
196;83;"MÜHLDORF A. INN";"DE21G";3751261.25418;5350080.26328
197;83;"MÜNCHEN";"DE21H";3696130.6302;5329453.04525
198;83;"NEUBURG-SCHROBENHAUSEN";"DE21I";3662000.71232;5394186.43737
199;83;"PFAFFENHOFEN A. D. ILM";"DE21J";3686170.47825;5387285.76417
200;83;"ROSENHEIM";"DE21K";3736481.10066;5309247.38925
201;83;"STARNBERG";"DE21L";3670462.05424;5321158.3068
202;83;"TRAUNSTEIN";"DE21M";3767516.1477;5312327.70414
203;83;"WEILHEIM-SCHONGAU";"DE21N";3653483.86038;5296330.56289
204;84;"LANDSHUT";"DE221";3733240.0479;5383182.85542
205;84;"PASSAU";"DE222";3825774.42981;5391902.01251
206;84;"STRAUBING";"DE223";3762025.64441;5422011.33553
207;84;"DEGGENDORF";"DE224";3794081.1341;5412260.43774
208;84;"FREYUNG-GRAFENAU";"DE225";3831442.70871;5419609.83369
209;84;"KELHEIM";"DE226";3709626.31044;5413292.41904
210;84;"LANDSHUT";"DE227";3735870.24781;5384772.78905
211;84;"PASSAU";"DE228";3822413.341;5389226.80466
212;84;"REGEN";"DE229";3799818.29932;5439807.95169
213;84;"ROTTAL-INN";"DE22A";3786270.41415;5372551.65255
214;84;"STRAUBING-BOGEN";"DE22B";3762647.95281;5424158.80723
