"s_klassen_id";"s_klasse";"s_code";"s_name";"s_bem"
322;"Auffindungsursache";"0";"None";"None"
324;"Auffindungsursache";"0";"None";"None"
326;"Auffindungsursache";"0";"None";"None"
325;"Auffindungsursache";"0";"None";"None"
323;"Auffindungsursache";"0";"None";"None"
321;"Auffindungsursache";"0";"None";"None"
318;"Auffindungsursache";"0";"None";"None"
327;"Auffindungsursache";"0";"None";"None"
329;"Auffindungsursache";"0";"None";"None"
328;"Auffindungsursache";"0";"None";"None"
330;"Auffindungsursache";"0";"None";"None"
332;"Auffindungsursache";"0";"None";"None"
331;"Auffindungsursache";"0";"None";"None"
333;"Auffindungsursache";"0";"None";"None"
335;"Auffindungsursache";"0";"None";"None"
337;"Auffindungsursache";"0";"None";"None"
336;"Auffindungsursache";"0";"None";"None"
334;"Auffindungsursache";"0";"None";"None"
338;"Auffindungsursache";"0";"None";"None"
339;"Auffindungsursache";"0";"None";"None"
440;"Leichenbehaeltnis";"Holzkammer";"Holzkammer";"None"
441;"Leichenbehaeltnis";"Holzkiste";"Holzkiste";"None"
442;"Leichenbehaeltnis";"Sarg";"Sarg";"None"
443;"Leichenbehaeltnis";"Leichenbrett";"Leichenbrett";"None"
444;"Leichenbehaeltnis";"Urne";"Urne";"None"
445;"Leichenbehaeltnis";"org";"Org. Behälter";"None"
446;"Leichenbehaeltnis";"Sonstiges";"Sonstiges";"None"
447;"Leichenbehaeltnis";"kein";"kein massives Leichenbehältnis";"None"
448;"Leichenbehaeltnis";"unbekannt";"unbekannt";"None"
449;"Leichenbehaeltnis";"0";"None";"None"
450;"Leichenbehaeltnis";"0";"None";"None"
451;"Leichenbehaeltnis";"0";"None";"None"
452;"Leichenbehaeltnis";"0";"None";"None"
453;"Leichenbehaeltnis";"0";"None";"None"
454;"Leichenbehaeltnis";"0";"None";"None"
455;"Leichenbehaeltnis";"0";"None";"None"
456;"Leichenbehaeltnis";"0";"None";"None"
457;"Leichenbehaeltnis";"0";"None";"None"
458;"Leichenbehaeltnis";"0";"None";"None"
459;"Leichenbehaeltnis";"0";"None";"None"
460;"Leichenbehaeltnis";"0";"None";"None"
461;"Leichenbehaeltnis";"0";"None";"None"
462;"Leichenbehaeltnis
Leichenbehaeltnis";"0";"None";"None"
463;"Leichenbehaeltnis";"0";"None";"None"
464;"Leichenbehaeltnis";"0";"None";"None"
465;"Leichenbehaeltnis";"0";"None";"None"
466;"Leichenbehaeltnis";"0";"None";"None"
467;"Leichenbehaeltnis";"0";"None";"None"
468;"Leichenbehaeltnis";"0";"None";"None"
469;"Leichenbehaeltnis";"0";"None";"None"
487;"Lage im Huegel";"zentral";"zentral";"None"
488;"Lage im Huegel";"radial";"radial";"None"
489;"Lage im Huegel";"tangential";"tangential";"None"
490;"Lage im Huegel";"unbekannt";"unbekannt";"None"
