"loc03_id";"loc03_loc02_id";"loc03_code";"loc03_nam";"x";"y"
317;91;"RO011";"ARAD";4482792.6452;5205384.88263
318;91;"RO012";"ARGES";4751903.01762;5112940.55836
319;91;"RO013";"BACAU";4864097.69911;5298067.2066
320;91;"RO014";"BIHOR";4504974.63554;5285903.29209
321;91;"RO015";"BISTRITA-NASAUD";4673925.33321;5351565.60123
322;91;"RO016";"BOTOSANI";4826755.97475;5457069.88574
323;91;"RO017";"BRAILA";4969445.14244;5166707.13076
324;91;"RO018";"BRASOV";4767868.20381;5199877.41022
325;91;"RO019";"BUCURESTI";4863534.10486;5075846.80283
326;91;"RO020";"BUZAU";4892521.64803;5167890.51568
327;91;"RO021";"CALARASI";4937871.99025;5069054.1129
328;91;"RO022";"CARAS-SEVERIN";4525210.2327;5084662.33242
329;91;"RO023";"CLUJ";4608540.06741;5289743.45748
330;91;"RO024";"CONSTANTA";5036850.89821;5083408.07152
331;91;"RO025";"COVASNA";4815889.72802;5230494.56784
332;91;"RO026";"DIMBOVITA";4804287.01331;5103523.29744
333;91;"RO027";"DOLJ";4668995.59091;4993535.82855
334;91;"RO028";"GIURGIU";4851257.89621;5030388.96901
335;91;"RO029";"GORJ";4627915.11098;5085573.69685
336;91;"RO030";"HARGHITA";4769381.02792;5291514.3462
337;91;"RO031";"HUNEDOARA";4583889.5868;5163564.60897
338;91;"RO032";"IALOMITA";4949112.6117;5108209.31046
339;91;"RO033";"IASI";4883147.35118;5393195.12665
340;91;"RO034";"MARAMURES";4624382.38358;5391809.17625
341;91;"RO035";"MEHEDINTI";4594821.7949;5030734.87044
342;91;"RO036";"MURES";4701717.68202;5284256.4244
343;91;"RO037";"NEAMT";4820475.27049;5351839.67727
344;91;"RO038";"OLT";4731519.12041;5020951.81054
345;91;"RO039";"PRAHOVA";4839034.0749;5139480.5524
346;91;"RO040";"SALAJ";4568264.75405;5325225.25586
347;91;"RO041";"SATU MARE";4542273.68332;5379845.418
348;91;"RO042";"SIBIU";4683284.30586;5194142.93371
349;91;"RO043";"SUCEAVA";4758963.48737;5405324.17462
350;91;"RO044";"TECUCI/GALATI";4957214.08352;5246757.11922
351;91;"RO045";"TELEORMAN";4798263.9294;5005757.62108
352;91;"RO046";"TIMIS";4462115.071;5141910.99412
353;91;"RO047";"TULCEA/TUGEA";5063074.40512;5187471.65198
354;91;"RO048";"VASLUI";4937951.27568;5327966.05958
355;91;"RO049";"VILCEA";4688755.21936;5107494.10911
356;91;"RO050";"VRANCEA";4896854.54352;5231846.75432
357;92;"RU001";"KALININGRADSKAJA OBLAST";4300010.93752;6135419.71151
358;92;"RU002";"LENINGRADSKAJA OBLAST";4740076.55085;6876975.16289
359;93;"SB010";"KOSOVO/KOSOVE";4475315.22919;4784525.65247
360;93;"SB011";"SERBIJA";4472459.97917;4918662.94135
361;93;"SB012";"VOJVODINA";4368189.50462;5089118.75789
362;94;"SE01";"STOCKHOLM";4023322.21666;6629672.94974
363;94;"SE02";"ÖSTRA MELLANSVERIGE";3908464.54878;6587154.90021
364;94;"SE03";"SMALAND MED ÖAMA";3888507.28839;6360652.08254
365;94;"SE04";"SYDSVERIGE";3808028.6259;6221174.75707
366;94;"SE05";"VÄSTSVERIGE";3728301.76657;6446770.52661
367;94;"SE06";"NORRA MELLANSVERIGE";3804020.41237;6748218.402
368;94;"SE07";"MELLERSTA NORRLAND";3813718.16723;7026048.27966
369;94;"SE08";"ÖVRE NORRLAND";3964653.17343;7386560.88971
370;95;"SK010";"BRATISLAVA";4104631.8022;5366173.27294
371;95;"SK011";"STREDOSLOVENSKY KRAJ";4252718.13528;5460189.49952
372;95;"SK012";"VYCHODOSLOVENSKY KRAJ";4395274.02707;5494714.73694
373;95;"SK013";"ZAPADOSLOVENSKY KRAJ";4161724.14031;5393329.96083
374;96;"SL";"SLOVENIJA";3949627.16299;5125079.11498
375;97;"SM";"SAN MARINO";3777757.87009;4873210.18634
376;98;"TR010";"ADANA";5882634.72636;4489419.93079
377;98;"TR020";"ADIYAMAN";6102465.2676;4615754.40977
378;98;"TR030";"AFYON";5397365.63941;4505597.72388
379;98;"TR040";"AGRI";6468998.81366;4984926.40793
380;98;"TR050";"AMASYA";5769662.49931;4866448.37932
381;98;"TR060";"ANKARA";5529179.25881;4681106.48224
382;98;"TR070";"ANTALYA";5468539.71756;4306409.15269
383;98;"TR080";"ARTVIN";6270363.37068;5108647.50015
384;98;"TR090";"AYDIN";5184507.35539;4353463.03027
385;98;"TR100";"BALIKESIR";5127032.71531;4568975.24243
386;98;"TR110";"BILECIK";5307582.62829;4661072.78983
387;98;"TR120";"BINGÖL";6260634.76987;4834070.41565
388;98;"TR130";"BITLIS";6438559.28921;4835681.33054
389;98;"TR140";"BOLU";5411444.1083;4755352.0087
390;98;"TR150";"BURDUR";5375759.44158;4355454.7306
391;98;"TR160";"BURSA";5216320.23742;4640322.58429
392;98;"TR170";"CANAKKALE";5020809.03372;4587447.17853
393;98;"TR180";"CANKIRI";5564143.30884;4805817.46689
394;98;"TR190";"CORUM";5685166.95509;4820502.56736
395;98;"TR200";"DENIZLI";5297229.47513;4376791.22537
396;98;"TR210";"DIYARBAKIR";6275676.06889;4716109.66094
397;98;"TR220";"EDIRNE";4977942.09888;4720171.10123
398;98;"TR230";"ELAZIG";6166212.50816;4748315.59519
399;98;"TR240";"ERZINCAN";6116383.23248;4860147.647
400;98;"TR250";"ERZURUM";6295308.76689;4979101.09914
401;98;"TR260";"ESKISEHIR";5403246.37506;4624215.14023
402;98;"TR270";"GAZIANTEP";6041202.0588;4497599.16256
403;98;"TR280";"GIRESUN";6014016.46908;4937628.31709
404;98;"TR290";"GÜMÜSHANE";6097208.21586;4938836.97344
405;98;"TR300";"HAKKARI";6642362.52117;4778506.68489
406;98;"TR310";"HATAY";5968959.32901;4396632.86141
407;98;"TR320";"ISPARTA";5441850.28313;4431871.78437
408;98;"TR330";"ICEI";5737792.57144;4361719.92758
409;98;"TR340";"ISTANBUL";5168388.52667;4752378.37134
410;98;"TR350";"IZMIR";5102341.64797;4422245.85717
411;98;"TR360";"KARS";6408923.53682;5073946.00836
412;98;"TR370";"KASTAMONU";5570564.7398;4899715.11547
413;98;"TR380";"KAYSERI";5855249.71005;4631749.31837
414;98;"TR390";"KIRKLARELI";5037884.83001;4783952.23723
415;98;"TR400";"KIRSEHIR";5677446.39051;4667500.37896
416;98;"TR410";"KOCAELI";5260788.30225;4733141.80571
417;98;"TR420";"KONYA";5592708.57679;4481472.3678
418;98;"TR430";"KÜTAHYA";5284611.20006;4558633.48938
419;98;"TR440";"MALATYA";6057069.42568;4692160.00967
420;98;"TR450";"MANISA";5169447.49861;4469925.5231
421;98;"TR460";"K.MARAS";5978646.28323;4583347.92658
422;98;"TR470";"MARDIN";6351420.46239;4642556.17393
423;98;"TR480";"MUGLA";5243958.51429;4279180.49789
424;98;"TR490";"MUS";6369337.23342;4870645.64718
425;98;"TR500";"NEVSEHIR";5747591.18032;4623136.48891
426;98;"TR510";"NIGDE";5773152.84139;4523214.18205
427;98;"TR520";"ORDU";5915474.21243;4926956.59388
428;98;"TR530";"RIZE";6197368.63729;5054931.64147
429;98;"TR540";"SAKARYA";5321052.19037;4740369.7121
430;98;"TR550";"SAMSUN";5775187.374;4931123.37715
431;98;"TR560";"SIIRT";6440080.82735;4753359.64451
432;98;"TR570";"SINOP";5663354.38061;4945657.92145
433;98;"TR580";"SIVAS";5945137.00872;4783716.07812
434;98;"TR590";"TEKIRDAG";5047989.28155;4716539.93127
435;98;"TR600";"TOKAT";5852334.6816;4851596.89345
436;98;"TR610";"TRABZON";6114197.60816;5003295.13607
437;98;"TR620";"TUNCELI";6149549.21718;4812222.52941
438;98;"TR630";"S.URFA";6196192.14296;4576667.9522
439;98;"TR640";"USAK";5283258.02864;4473305.26434
440;98;"TR650";"VAN";6550900.91562;4874897.98904
441;98;"TR660";"YOZGAT";5766432.71657;4734438.0433
442;98;"TR670";"ZONGULDAK";5450004.68582;4839231.34497
443;98;"TR680";"AKSARAY";5681937.52507;4557844.10346
444;98;"TR690";"BAYBURT";6171748.55136;4955807.76454
445;98;"TR700";"KARAMAN";5656931.25655;4377124.26509
446;98;"TR710";"KIRIKKALE";5622249.80153;4717395.00656
447;98;"TR720";"BATMAN";6371428.94491;4735515.32349
448;98;"TR730";"SIRNAK";6500528.08735;4718600.14333
449;98;"TR740";"BARTIN";5467116.79561;4884319.15144
