"loc02_id";"loc02_loc01_id";"loc02_nam";"loc02_code";"x";"y"
0;0;"unbekannt";"0";0;0
94;39;"SVERIGE";"SE";3896895.2812;6986152.80361
95;40;"SLOVENSKA REPUBLIKA";"SK";4271187.21488;5449829.24336
96;41;"SLOVENIJA";"SL";3949629.12588;5125023.65356
97;42;"SAN MARINO";"SM";3777610.40823;4873066.36967
98;43;"TÜRKIYE";"TR";5779487.29721;4666175.652
99;44;"UKRAINA";"UA";5131232.65671;5678271.60211
100;45;"NORTH";"UK1";2767587.3513;6135315.25719
101;45;"YORKSHIRE AND HUMBERSIDE";"UK2";2829824.30545;6030148.6658
102;45;"EAST MIDLANDS";"UK3";2841131.82098;5910927.91378
103;45;"EAST ANGLIA";"UK4";2938313.05044;5845422.22491
104;45;"SOUTH EAST";"UK5";2850948.99501;5740771.72945
105;45;"SOUTH WEST";"UK6";2649587.85915;5722103.02573
106;45;"WEST MIDLANDS";"UK7";2735430.94255;5875836.58861
107;45;"NORTH WEST";"UK8";2735476.22859;5997434.94818
108;45;"WALES";"UK9";2631845.03417;5877562.80125
109;45;"SCOTLAND";"UKA";2698168.37046;6378802.13787
110;45;"NORTHERN IRELAND";"UKB";2490505.4879;6166795.28071
1;1;"ANDORRA";"AD";2891056.68175;4740239.1007
2;2;"SHQIPERI";"AL";4429959.34308;4615607.4152
3;3;"OSTÖSTERREICH";"AT1";4012641.07581;5357657.37103
4;3;"SÜDÖSTERREICH";"AT2";3926003.75491;5231862.21348
5;3;"WESTÖSTERREICH";"AT3";3769466.47873;5276411.03368
6;4;"REG. BRUXELLES-CAP.";"BE1";3174482.94535;5643742.29296
7;4;"VLAAMS GEWEST";"BE2";3166497.32222;5666574.97095
8;4;"REGION WALLONNE";"BE3";3215855.66776;5582868.78894
9;5;"BULGARIJA";"BG";4830896.37833;4865488.75141
10;6;"BOSNA I HERCEGOVINA";"BH";4202059.38837;4930950.23598
11;7;"BELARUS";"BY";4755642.66525;6105036.49349
12;8;"NORDOSTSCHWEIZ";"CH01";3500887.38425;5243881.67639
13;8;"NORDWESTSCHWEIZ-BERN";"CH02";3402498.88516;5207985.04234
14;8;"SÜDSCHWEIZ";"CH03";3483275.9029;5144250.2717
15;8;"WESTSCHWEIZ";"CH04";3334345.33364;5181920.73407
16;8;"ZENTRALSCHWEIZ";"CH05";3455817.52847;5203337.36934
17;9;"CYPRUS";"CY";5732309.16099;4160673.72509
18;10;"CESKA REPUBLIKA";"CZ";3956129.56684;5530560.11778
19;11;"BADEN-WÜRTTEMBERG";"DE1";3503585.94725;5378668.00978
20;11;"BAYERN";"DE2";3677288.98309;5426147.469
21;11;"BERLIN";"DE3";3798932.70803;5827777.73782
22;11;"BRANDENBURG";"DE4";3798788.015;5824595.32061
