"d_klassen_id";"d_klasse";"d_name";"d_code";"d_text_beschr";"d_text_bem";"d_text_lit";"tg"
21672;"B213538";"Schmuck>Halsring>Spiral>Querschnitt C>offen>vasenförmig";"B213538";">vasenförmig";"None";"x";"x"
10747;"A";"Material";"A";"";"";"";""
20284;"B126533";"Gefaess>Breitform>Metallgef.>gerade>Omphalos>weitmundig";"B126533";"weitmundig";"B12653";"None";"None"
19080;"B124912";"Gefaess>Breitform>Knickwand>Sonstige>Fuss>normalmundig";"B124912";"normalmundig";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
17;"A241";"Silber";"A241";"Silber";"A24";"";""
18;"A242";"Gold";"A242";"Gold";"A24";"";""
44;"A325";"Stein>Metamorphit>Phyllit";"A325";"Phyllit";"A32";"";""
108;"B11133";"Gefäß>Hochform>rundlich>ausgeschwungen>Omphalos";"B11133";"Omphalosboden";"B1113";"";""
140;"B11173";"Gefäß>Hochform>rundlich>eingecknickt>Omphalos";"B11173";"Omphalosboden";"B1117";"";""
10338;"B213137";"Schmuck>Halsring>Spiral>Querschnitt O>offen>spitz";"B213137";">spitz";"None";"x";"x"
101;"B11124";"Gefäß>Hochform>rundlich>Schrägrand>flachbodig";"B11124";"flacher oder leicht eingewölbter Boden";"B1112";"";""
3867;"B624";"Geräte>Toilettgerät>Ohrlöffel";"B624";"Ohrlöffel";"B62";"";""
6297;"B23173";"Schmuck>Armring>Massiv>Querschnitt T>offen";"B23173";">offen";"None";"x";"x"
875;"B12414";"Gefäß>Breitform>Knickwand>Zylinderhals>flachbodig";"B12414";"flacher oder leicht eingewölbter Boden";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"";""
10199;"B233336";"Schmuck>Armring>Spiral>Querschnitt K>offen>Kugel";"B233336";">Kugel";"None";"x";"x"
76;"A4";"Organisches";"A4";"Organisches";"A";"";""
3874;"B632";"Geräte>Grillgerät>Feuerbock";"B632";"Feuerbock";"B63";"";""
43;"A324";"Stein>Metamorphit>Gneis";"A324";"Gneis";"A32";"";""
6855;"B293912";"Schmuck>sonstiger Ring>Spiral>Querschnitt S>geschlossen>umwickelt";"B293912";">umwickelt";"None";"x";"x"
920;"B12471";"Gefäß>Breitform>Knickwand>eingecknickt>Fuß";"B12471";"deutlich abgesetzter Fuß, etwa Eierbecher";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"";""
921;"B12472";"Gefäß>Breitform>Knickwand>eingecknickt>Standring";"B12472";"Standring";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"";""
922;"B12473";"Gefäß>Breitform>Knickwand>eingecknickt>Omphalos";"B12473";"Omphalosboden";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"";""
19416;"B125412";"Gefaess>Breitform>Bauchknick>steil>Fuss>normalmundig";"B125412";"normalmundig";"B12541";"None";"None"
9673;"B221834";"Schmuck>Schlaefenschm>Massiv>Querschnitt P>offen>Scheibe";"B221834";">Scheibe";"None";"x";"x"
6263;"B22273";"Schmuck>Schlaefenschm>Blech>Querschnitt T>offen";"B22273";">offen";"None";"x";"x"
6268;"B22333";"Schmuck>Schlaefenschm>Spiral>Querschnitt K>offen";"B22333";">offen";"None";"x";"x"
7362;"B229119";"Schmuck>Schlaefenschm>Sonst>Querschnitt O>geschlossen>sonstiges";"B229119";">sonstiges";"None";"x";"x"
22206;"E234504";"Typ La Mouleyre";"E234504";"";"Verbreitung: Haute – Loire; Datierung: Ha D1-2";"P.-Y. Milcent, Le premiere âge du Fer en France centrale. In: Société préhistorique Française (Toulouse 2004).";"0"
22293;"E24140402";"Typ Saint-Ybard";"E24140402";"Definitionsmerkmale: offener Bronzebeinring mit Querstreifenverzierung, welche durch plastische Knubben in regelmäßigen Abständen unterbrochen wird";"Verbreitung: Puy-de-Dôme, Corrèze; Datierung: Hallstatt D1-2";"P.-Y. Milcent, Le premier âge du Fer en France centrale. In: Société préhistorique Française (Toulouse 2004) 173.";"0"
22420;"E312903";"Hörnchenfibel Form C";"E312903";"Definitionsmerkmale: bewegliche Hörnchen";"Verbreitung: siehe Karte; Datierung: keine Datierungsmöglichkeit für die Exemplare aus Hallstatt, Funde in Italien datierbar";"Glunz, Bettina E.; Studien zu den Fibeln aus dem Gräberfeld von Hallstatt; S.79-84.";"0"
22784;"E520107";"Bronzetrensen mit Zügelringen";"E520107";"";"Verbreitung: siehe Karte; Datierung: Leittypen der Kossack Stufe HaC1  ";"C. F. E. Pare, Wagons and Wagon-Graves of the Early Iron Age in Central Europe. Oxford University Committee for Archaeology Monograph Nr. 35 (Oxford 1992) 136.";"0"
22989;"B32412";"Kleidung und -zubehör>Nadel>Schleifenhals>Kugelkopf>Zweischalennadel";"B32412";"Zweischalennadel";"B321";"";""
10978;"A47";"Organisches>Zahn";"A47";"Zahn";"";"";""
1430;"B19541";"Gefäß>Sonstige>Bauchknick>steil>Fuß";"B19541";"deutlich abgesetzter Fuß, etwa Eierbecher";"B1954";"";""
1137;"B1914";"Gefäß>Sonstige>rundlich>steil";"B1914";"Steilrand ";"B191";"";""
91;"B11112";"Gefäß>Hochform>rundlich>Zylinderhals>Standring";"B11112";"Standring";"B1111";"";""
10851;"B232527";"Schmuck>Armring>Blech>Querschnitt C>verbunden>Muffe";"B232527";">Muffe";"None";"x";"x"
1025;"B1262";"Gefäß>Breitform>Metallgef.>Schrägrand";"B1262";"Schrägrand / abges. Rand";"B126";"";""
10977;"B290000";"Schmuck>weiter zu den Sonderformen";"B290000";"Sonderformen";"";"";""
10152;"B222836";"Schmuck>Schlaefenschm>Blech>Querschnitt P>offen>Kugel";"B222836";">Kugel";"None";"x";"x"
10370;"B223137";"Schmuck>Schlaefenschm>Spiral>Querschnitt O>offen>spitz";"B223137";">spitz";"None";"x";"x"
6282;"B22913";"Schmuck>Schlaefenschm>Sonst>Querschnitt O>offen";"B22913";">offen";"None";"x";"x"
10831;"B229227";"Schmuck>Schlaefenschm>Sonst>Querschnitt Q>verbunden>Muffe";"B229227";">Muffe";"None";"x";"x"
21955;"E120832";"Fußschälchen auch „Eierbecher“";"E120832";"Definitionsmerkmale: Charakteristisch ist das flach schalenförmige Oberteil ebenso wie der hohe, unten ausladende und etwas hohle Fuß. ";"Verbreitung: siehe Karte; Datierung: keine Angaben";"S. Hornung, Die südöstliche Hunsrück-Eifel-Kultur, Studien zur Späthallstatt- und Frühlaténezeit in der deutschen Mittelgebirgsregion. Bd 153 Teil I (Bonn 2008) 109.";"0"
22599;"E4101020204";"Schwerter Typ Mindelheim Serie II Etappe 4";"E4101020204";"";"Verbreitung: siehe Fundtabelle; Datierung: spätes Ha C1";"M. Trachsel, Untersuchungen zur relativen und absoluten Chronologie der Hallstattzeit (Bonn 2004) 127.";"0"
22604;"E4101020105";"Schwerter Typ Mindelheim Serie I Etappe 5";"E4101020105";"";"Verbreitung: siehe Fundtabelle. Datierung: jüngere Datierung in Ha C ";"M. Trachsel, Untersuchungen zur relativen und absoluten Chronologie der Hallstattzeit (Bonn 2004) 127.";"0"
1434;"B19545";"Gefäß>Sonstige>Bauchknick>steil>Rundboden";"B19545";"Rundboden";"B1954";"";""
16533;"B121453";"Gefaess>Breitform>rundlich>steil>Rundboden>weitmundig";"B121453";"weitmundig";"B12145";"None";"None"
1972;"B2197";"Schmuck>Halsring>Sonst>Querschnitt T";"B2197";"Tonnenarmband";"B219";"";""
3883;"B643";"Geräte>Werkzeuge>Beil";"B643";"Beil";"B64";"";""
3971;"C3";"Farbe";"C3";"Farbe";"C";"";""
790;"B123";"Gefäß>Breitform>gerade";"B123";"gerade / etwa Eimer";"B12";"";""
22112;"E2128";"Halsringe mit Pfropfen aus Eisen (Torques à tampons en fer)";"E2128";"Definitionsmerkmale: Eisen; kugeliger Pfropfenabschluss";"Verbreitung: Cher, Zentralfrankreich; Datierung: Ha D1-2";"P.-Y. Milcent, Le premier âge du Fer en France centrale. In: Société préhistorique Française (Toulouse 2004).";"0"
22113;"E2127";"Halsringe mit Hakenverschluss aus Eisen (Torques à crochets en Fer)";"E2127";"Definitionsmerkmale: Eisen; mit Hakenverschluss; enden teilweise kugelig";"Verbreitung: Cantal und Indre; Datierung: Ha D1-2";"P.-Y. Milcent, Le premier âge du Fer en France centrale. In: Société préhistorique Française (Toulouse 2004).";"0"
22826;"E6203";"Nagelschneider";"E6203";"Definitionsmerkmale: siehe Untertyp";"Varianten: E62_3_1: Typ Forêt de Moidons; Verbreitung: siehe Untertyp";"Andrei Miron, Toilettebestecke mit Scharnierkonstruktion. In: Archaeologia Mosellana, Archäologie im Saarland, in Lothringen und Luxemburg (Saarbrücken 1989/1) 57.";"0"
11009;"B6261";"Geraete>Toilettgeraet>Toilettbesteck m. Scharnierkonstruktion>TypRebbio";"B6261";"Typ Rebbio";"B626";"None";"None"
216;"B11276";"Gefäß>Hochform>abgesetzter Hals>eingecknickt>Spitzboden";"B11276";"Spitzboden";"B1127";"";""
260;"B11341";"Gefäß>Hochform>gerade>steil>Fuß";"B11341";"deutlich abgesetzter Fuß, etwa Eierbecher";"B1134";"";""
1516;"B19656";"Gefäß>Sonstige>Metallgef.>gerade>Spitzboden";"B19656";"Spitzboden";"B1965";"";""
3988;"C39";"Farbe>Sonstige";"C39";"Sonstige";"C3";"";""
3989;"C4";"Eintiefung";"C4";"Eintiefung";"C";"";""
1309;"B19372";"Gefäß>Sonstige>gerade>eingecknickt>Standring";"B19372";"Standring";"B1937";"";""
1416;"B19523";"Gefäß>Sonstige>Bauchknick>Schrägrand>Omphalos";"B19523";"Omphalosboden";"B1952";"";""
1350;"B19432";"Gefäß>Sonstige>Knickwand>ausgeschwungen>Standring";"B19432";"Standring";"B1943";"";""
3860;"B612";"Geräte>Messer>Rasiermesser";"B612";"Rasiermesser";"B61";"";""
21879;"E120404";"Kleingefäße Variante 4";"E120404";"Definitionsmerkmale: Oberteil dreigliedrig; Schulter, Kegelhals und Randlippe gegeneinander abgesetzt; Unterteil konvex bis geradlinig";"Verbreitung: Oberfranken, Datierung: Hallstattzeit";"Ettel, P. Gräberfelder der Hallstattzeit aus Oberfranken. In: Materialhefte zur Bayrischen Vorgeschichte (Reihe A- Fundinventare und Ausgrabungsbefunde) (Kallmünz/Opf. 1996) 39.";"0"
22249;"E2311";"bronzener Hohlblecharmringe mit C-förmigem Querschnitt und eichelförmigen Endverdickung";"E2311";"weitere Charakteristika: geperlte Strickgruppen, die mit Dreickbändern abwechseln";"Verbreitung: Exemplar im Saarland gefunden, sonst keine Angaben; Datierung: Z1 nach Reinhard = etwa HaC1 und HaC2";"W. Reinhard, Studien zur Hallstatt- und Frühlatènezeit im südöstlichen Saarland. Veröffentlichung des Europäischen Kulturparks Bliesbruck-Reinheim. Blesa 4 (Bliesbruck-Reinheim 2003) 23.";"0"
22624;"E410218";"Typ B (Ortbänder in Croissantform)";"E410218";"Definitionsmerkmale: Bronze; äußere Enden nach oben gezogen, so dass eine Croissantform entsteht; ";"Varianten: B1 und B2; Verbreitung: siehe Karte; Datierung: Ha C";"P.-Y. Milcent, Le premiere âge du Fer en France centrale. In: Société préhistorique Française (Toulouse 2004).";"0"
22658;"E431101";"Dolchmesser und Dolche mit bronzedrahtumwickelter Scheide Variante Neuenegg";"E431101";"Definitionsmerkmale: Dolchmesser mit einem auf die Griffangel aufgesteckten  und durch sie vernieteten ein- oder mehrteiligen Bronzegriff mit oval eingebogenen, profilierten Knaufenden. weitere Charakteristika: möglich das die Dolche von Sesto-Calende und Sitten aus der gleichen Werkstatt stammen";"Verbreitung: Schwerpunkt liegt in Oberitalien; Datierung: norditalienische und vielleicht auch Schweizer Dolche nach Ha C2, übrigen Stücke vermutlich jünger";"Sievers, S. Die mitteleuropäischen Hallstattdolche. PBF 6,6 (München 1982) 33-35.";"0"
22670;"E4304";"Dolchmesser mit taillierter Griffzunge";"E4304";"Definitionsmerkmale: massive Griffzunge mit leicht einziehenden Seiten und zahlreichen durchgeschlagenen Nieten ";"Datierung: ein Stück des späten Ha D2, vier weitere frühes und mittleres Ha D3";"Trachsel, M. Untersuchungen zur relativen und absoluten Chronologie der Hallstattzeit (Bonn 2004) 140.";"0"
22952;"E1";"Gefäße";"E1";"x";"x";"x";"0"
22953;"E11";"Gefäße>Hochformen>";"E11";"x";"x";"x";"0"
22954;"E12";"Gefäße>Bereitformen>";"E12";"x";"x";"x";"0"
22955;"E2";"Schmuck>";"E2";"x";"x";"x";"0"
22956;"E21";"Schmuck>Halsringe>";"E21";"x";"x";"x";"0"
22957;"E22";"Schmuck>Schläfenschmuck>";"E22";"x";"x";"x";"0"
22958;"E23";"Schmuck>Armringe>";"E23";"x";"x";"x";"0"
22959;"E24";"Schmuck>Bein-Oberarmring>";"E24";"x";"x";"x";"0"
13051;"B1138223";"Gefaess>Hochform>gerade>Blech u. Achse>Standring>normalmundig>niedriger Umbruch";"B1138223";"niedriger Umbruch";"B113822";"None";"None"
12990;"B1137422";"Gefaess>Hochform>gerade>eingecknickt>flachbodig>normalmundig>mittlerer Umbruch";"B1137422";"mittlerer Umbruch";"B113742";"None";"None"
12979;"B1137323";"Gefaess>Hochform>gerade>eingecknickt>Omphalos>normalmundig>niedriger Umbruch";"B1137323";"niedriger Umbruch";"B113732";"None";"None"
12910;"B1136432";"Gefaess>Hochform>gerade>eingewoelbt>flachbodig>weitmundig>mittlerer Umbruch";"B1136432";"mittlerer Umbruch";"B113643";"None";"None"
12854;"B1135912";"Gefaess>Hochform>gerade>gerade>Sonstiger Boden>engmundig>mittlerer Umbruch";"B1135912";"mittlerer Umbruch";"B113591";"None";"None"
12802;"B1135232";"Gefaess>Hochform>gerade>gerade>Standring>weitmundig>mittlerer Umbruch";"B1135232";"mittlerer Umbruch";"B113523";"None";"None"
12787;"B1135123";"Gefaess>Hochform>gerade>gerade>Fuss>normalmundig>niedriger Umbruch";"B1135123";"niedriger Umbruch";"B113512";"None";"None"
12650;"B1133412";"Gefaess>Hochform>gerade>ausgeschwungen>flachbodig>engmundig>mittlerer Umbruch";"B1133412";"mittlerer Umbruch";"B113341";"None";"None"
12639;"B1133222";"Gefaess>Hochform>gerade>ausgeschwungen>Standring>normalmundig>mittlerer Umbruch";"B1133222";"mittlerer Umbruch";"B113322";"None";"None"
12582;"B1132431";"Gefaess>Hochform>gerade>Schraegrand>flachbodig>weitmundig>hoher Umbruch";"B1132431";"hoher Umbruch";"B113243";"None";"None"
12527;"B1131912";"Gefaess>Hochform>gerade>Zylinderhals>Sonstiger Boden>engmundig>mittlerer Umbruch";"B1131912";"mittlerer Umbruch";"B113191";"None";"None"
12467;"B1131212";"Gefaess>Hochform>gerade>Zylinderhals>Standring>engmundig>mittlerer Umbruch";"B1131212";"mittlerer Umbruch";"B113121";"None";"None"
12444;"B1129113";"Gefaess>Hochform>abgesetzter Hals>Sonstige>Fuss>engmundig>niedriger Umbruch";"B1129113";"niedriger Umbruch";"B112911";"None";"None"
12445;"B112912";"Gefaess>Hochform>abgesetzter Hals>Sonstige>Fuss>normalmundig";"B112912";"normalmundig";"B11291";"None";"None"
12389;"B112833";"Gefaess>Hochform>abgesetzter Hals>Blech u. Achse>Omphalos>weitmundig";"B112833";"weitmundig";"B11283";"None";"None"
12375;"B1128222";"Gefaess>Hochform>abgesetzter Hals>Blech u. Achse>Standring>normalmundig>mittlerer Umbruch";"B1128222";"mittlerer Umbruch";"B112822";"None";"None"
12359;"B1128112";"Gefaess>Hochform>abgesetzter Hals>Blech u. Achse>Fuss>engmundig>mittlerer Umbruch";"B1128112";"mittlerer Umbruch";"B112811";"None";"None"
12293;"B1127133";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Fuss>weitmundig>niedriger Umbruch";"B1127133";"niedriger Umbruch";"B112713";"None";"None"
12282;"B112711";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Fuss>engmundig";"B112711";"engmundig";"B11271";"None";"None"
12217;"B1126223";"Gefaess>Hochform>abgesetzter Hals>eingewoelbt>Standring>normalmundig>niedriger Umbruch";"B1126223";"niedriger Umbruch";"B112622";"None";"None"
12200;"B1126112";"Gefaess>Hochform>abgesetzter Hals>eingewoelbt>Fuss>engmundig>mittlerer Umbruch";"B1126112";"mittlerer Umbruch";"B112611";"None";"None"
12143;"B1125321";"Gefaess>Hochform>abgesetzter Hals>gerade>Omphalos>normalmundig>hoher Umbruch";"B1125321";"hoher Umbruch";"B112532";"None";"None"
12018;"B112391";"Gefaess>Hochform>abgesetzter Hals>ausgeschwungen>Sonstiger Boden>engmundig";"B112391";"engmundig";"B11239";"None";"None"
11949;"B1123113";"Gefaess>Hochform>abgesetzter Hals>ausgeschwungen>Fuss>engmundig>niedriger Umbruch";"B1123113";"niedriger Umbruch";"B112311";"None";"None"
11857;"B1121923";"Gefaess>Hochform>abgesetzter Hals>Zylinderhals>Sonstiger Boden>normalmundig>niedriger Umbruch";"B1121923";"niedriger Umbruch";"B112192";"None";"None"
11798;"B112123";"Gefaess>Hochform>abgesetzter Hals>Zylinderhals>Standring>weitmundig";"B112123";"weitmundig";"B11212";"None";"None"
11801;"B1121233";"Gefaess>Hochform>abgesetzter Hals>Zylinderhals>Standring>weitmundig>niedriger Umbruch";"B1121233";"niedriger Umbruch";"B112123";"None";"None"
19588;"B125613";"Gefaess>Breitform>Bauchknick>eingewoelbt>Fuss>weitmundig";"B125613";"weitmundig";"B12561";"None";"None"
14757;"B116143";"Gefaess>Hochform>Metallgef.>Zylinderhals>flachbodig>weitmundig";"B116143";"weitmundig";"B11614";"None";"None"
14797;"B116211";"Gefaess>Hochform>Metallgef.>Schraegrand>Fuss>engmundig";"B116211";"engmundig";"B11621";"None";"None"
13973;"B115122";"Gefaess>Hochform>Bauchknick>Zylinderhals>Standring>normalmundig";"B115122";"normalmundig";"B11512";"None";"None"
11806;"B112132";"Gefaess>Hochform>abgesetzter Hals>Zylinderhals>Omphalos>normalmundig";"B112132";"normalmundig";"B11213";"None";"None"
13549;"B114521";"Gefaess>Hochform>Knickwand>gerade>Standring>engmundig";"B114521";"engmundig";"B11452";"None";"None"
21052;"B129543";"Gefaess>Breitform>Sonstige>gerade>flachbodig>weitmundig";"B129543";"weitmundig";"B12954";"None";"None"
21088;"B129593";"Gefaess>Breitform>Sonstige>gerade>Sonstiger Boden>weitmundig";"B129593";"weitmundig";"B12959";"None";"None"
17019;"B1221412";"Gefaess>Breitform>abgesetzter Hals>Zylinderhals>flachbodig>engmundig>mittlerer Umbruch";"B1221412";"mittlerer Umbruch";"B122141";"None";"None"
18404;"B124111";"Gefaess>Breitform>Knickwand>Zylinderhals>Fuss>engmundig";"B124111";"engmundig";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18647;"B1243913";"Gefaess>Breitform>Knickwand>ausgeschwungen>Sonstiger Boden>engmundig>niedriger Umbruch";"B1243913";"niedriger Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18675;"B1244223";"Gefaess>Breitform>Knickwand>steil>Standring>normalmundig>niedriger Umbruch";"B1244223";"niedriger Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18702;"B1244432";"Gefaess>Breitform>Knickwand>steil>flachbodig>weitmundig>mittlerer Umbruch";"B1244432";"mittlerer Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18728;"B124491";"Gefaess>Breitform>Knickwand>steil>Sonstiger Boden>engmundig";"B124491";"engmundig";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18755;"B1245213";"Gefaess>Breitform>Knickwand>gerade>Standring>engmundig>niedriger Umbruch";"B1245213";"niedriger Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18782;"B1245422";"Gefaess>Breitform>Knickwand>gerade>flachbodig>normalmundig>mittlerer Umbruch";"B1245422";"mittlerer Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18785;"B1245431";"Gefaess>Breitform>Knickwand>gerade>flachbodig>weitmundig>hoher Umbruch";"B1245431";"hoher Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18809;"B1245631";"Gefaess>Breitform>Knickwand>gerade>Spitzboden>weitmundig>hoher Umbruch";"B1245631";"hoher Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18810;"B1245632";"Gefaess>Breitform>Knickwand>gerade>Spitzboden>weitmundig>mittlerer Umbruch";"B1245632";"mittlerer Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18835;"B1246133";"Gefaess>Breitform>Knickwand>eingewoelbt>Fuss>weitmundig>niedriger Umbruch";"B1246133";"niedriger Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18860;"B124641";"Gefaess>Breitform>Knickwand>eingewoelbt>flachbodig>engmundig";"B124641";"engmundig";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18864;"B124642";"Gefaess>Breitform>Knickwand>eingewoelbt>flachbodig>normalmundig";"B124642";"normalmundig";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18886;"B1246612";"Gefaess>Breitform>Knickwand>eingewoelbt>Spitzboden>engmundig>mittlerer Umbruch";"B1246612";"mittlerer Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18910;"B1247112";"Gefaess>Breitform>Knickwand>eingecknickt>Fuss>engmundig>mittlerer Umbruch";"B1247112";"mittlerer Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18936;"B124732";"Gefaess>Breitform>Knickwand>eingecknickt>Omphalos>normalmundig";"B124732";"normalmundig";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18960;"B124752";"Gefaess>Breitform>Knickwand>eingecknickt>Rundboden>normalmundig";"B124752";"normalmundig";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
18985;"B1247921";"Gefaess>Breitform>Knickwand>eingecknickt>Sonstiger Boden>normalmundig>hoher Umbruch";"B1247921";"hoher Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
19010;"B1248222";"Gefaess>Breitform>Knickwand>Blech u. Achse>Standring>normalmundig>mittlerer Umbruch";"B1248222";"mittlerer Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
19034;"B1248422";"Gefaess>Breitform>Knickwand>Blech u. Achse>flachbodig>normalmundig>mittlerer Umbruch";"B1248422";"mittlerer Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
19058;"B1248622";"Gefaess>Breitform>Knickwand>Blech u. Achse>Spitzboden>normalmundig>mittlerer Umbruch";"B1248622";"mittlerer Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
19083;"B1249123";"Gefaess>Breitform>Knickwand>Sonstige>Fuss>normalmundig>niedriger Umbruch";"B1249123";"niedriger Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
19111;"B1249333";"Gefaess>Breitform>Knickwand>Sonstige>Omphalos>weitmundig>niedriger Umbruch";"B1249333";"niedriger Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
19138;"B1249612";"Gefaess>Breitform>Knickwand>Sonstige>Spitzboden>engmundig>mittlerer Umbruch";"B1249612";"mittlerer Umbruch";"Datierung in Ha C prüfen: gibt es Ausnahmen?";"None";"None"
12848;"B113563";"Gefaess>Hochform>gerade>gerade>Spitzboden>weitmundig";"B113563";"weitmundig";"B11356";"None";"None"
19465;"B1254521";"Gefaess>Breitform>Bauchknick>steil>Rundboden>normalmundig>hoher Umbruch";"B1254521";"hoher Umbruch";"B125452";"None";"None"
15772;"B1194513";"Gefaess>Hochform>Sonstige>steil>Rundboden>engmundig>niedriger Umbruch";"B1194513";"niedriger Umbruch";"B119451";"None";"None"
14261;"B115452";"Gefaess>Hochform>Bauchknick>steil>Rundboden>normalmundig";"B115452";"normalmundig";"B11545";"None";"None"
20216;"B126451";"Gefaess>Breitform>Metallgef.>steil>Rundboden>engmundig";"B126451";"engmundig";"B12645";"None";"None"
19481;"B1254631";"Gefaess>Breitform>Bauchknick>steil>Spitzboden>weitmundig>hoher Umbruch";"B1254631";"hoher Umbruch";"B125463";"None";"None"
16548;"B1214633";"Gefaess>Breitform>rundlich>steil>Spitzboden>weitmundig>niedriger Umbruch";"B1214633";"niedriger Umbruch";"B121463";"None";"None"
14269;"B115461";"Gefaess>Hochform>Bauchknick>steil>Spitzboden>engmundig";"B115461";"engmundig";"B11546";"None";"None"
14273;"B115462";"Gefaess>Hochform>Bauchknick>steil>Spitzboden>normalmundig";"B115462";"normalmundig";"B11546";"None";"None"
12762;"B1134622";"Gefaess>Hochform>gerade>steil>Spitzboden>normalmundig>mittlerer Umbruch";"B1134622";"mittlerer Umbruch";"B113462";"None";"None"
20963;"B1294413";"Gefaess>Breitform>Sonstige>steil>flachbodig>engmundig>niedriger Umbruch";"B1294413";"niedriger Umbruch";"B129441";"None";"None"
20946;"B1294232";"Gefaess>Breitform>Sonstige>steil>Standring>weitmundig>mittlerer Umbruch";"B1294232";"mittlerer Umbruch";"B129423";"None";"None"
20207;"B1264413";"Gefaess>Breitform>Metallgef.>steil>flachbodig>engmundig>niedriger Umbruch";"B1264413";"niedriger Umbruch";"B126441";"None";"None"
20191;"B1264233";"Gefaess>Breitform>Metallgef.>steil>Standring>weitmundig>niedriger Umbruch";"B1264233";"niedriger Umbruch";"B126423";"None";"None"
19435;"B1254233";"Gefaess>Breitform>Bauchknick>steil>Standring>weitmundig>niedriger Umbruch";"B1254233";"niedriger Umbruch";"B125423";"None";"None"
19425;"B1254211";"Gefaess>Breitform>Bauchknick>steil>Standring>engmundig>hoher Umbruch";"B1254211";"hoher Umbruch";"B125421";"None";"None"
17935;"B123441";"Gefaess>Breitform>gerade>steil>flachbodig>engmundig";"B123441";"engmundig";"B12344";"None";"None"
17918;"B1234223";"Gefaess>Breitform>gerade>steil>Standring>normalmundig>niedriger Umbruch";"B1234223";"niedriger Umbruch";"B123422";"None";"None"
16488;"B1214133";"Gefaess>Breitform>rundlich>steil>Fuss>weitmundig>niedriger Umbruch";"B1214133";"niedriger Umbruch";"B121413";"None";"None"
15800;"B1194923";"Gefaess>Hochform>Sonstige>steil>Sonstiger Boden>normalmundig>niedriger Umbruch";"B1194923";"niedriger Umbruch";"B119492";"None";"None"
15743;"B1194232";"Gefaess>Hochform>Sonstige>steil>Standring>weitmundig>mittlerer Umbruch";"B1194232";"mittlerer Umbruch";"B119423";"None";"None"
15044;"B1164923";"Gefaess>Hochform>Metallgef.>steil>Sonstiger Boden>normalmundig>niedriger Umbruch";"B1164923";"niedriger Umbruch";"B116492";"None";"None"
14965;"B116411";"Gefaess>Hochform>Metallgef.>steil>Fuss>engmundig";"B116411";"engmundig";"B11641";"None";"None"
14236;"B1154313";"Gefaess>Hochform>Bauchknick>steil>Omphalos>engmundig>niedriger Umbruch";"B1154313";"niedriger Umbruch";"B115431";"None";"None"
14221;"B115421";"Gefaess>Hochform>Bauchknick>steil>Standring>engmundig";"B115421";"engmundig";"B11542";"None";"None"
13481;"B114432";"Gefaess>Hochform>Knickwand>steil>Omphalos>normalmundig";"B114432";"normalmundig";"B11443";"None";"None"
13485;"B114433";"Gefaess>Hochform>Knickwand>steil>Omphalos>weitmundig";"B114433";"weitmundig";"B11443";"None";"None"
13466;"B1144211";"Gefaess>Hochform>Knickwand>steil>Standring>engmundig>hoher Umbruch";"B1144211";"hoher Umbruch";"B114421";"None";"None"
12728;"B113433";"Gefaess>Hochform>gerade>steil>Omphalos>weitmundig";"B113433";"weitmundig";"B11343";"None";"None"
