"d_klassen_id";"d_klasse";"d_name";"d_code";"d_text_beschr";"d_text_bem";"d_text_lit";"tg"
20671;"B1269933";"Gefaess>Breitform>Metallgef.>Sonstige>Sonstiger Boden>weitmundig>niedriger Umbruch";"B1269933";"niedriger Umbruch";"B126993";"None";"None"
20672;"B129111";"Gefaess>Breitform>Sonstige>Zylinderhals>Fuss>engmundig";"B129111";"engmundig";"B12911";"None";"None"
20673;"B1291111";"Gefaess>Breitform>Sonstige>Zylinderhals>Fuss>engmundig>hoher Umbruch";"B1291111";"hoher Umbruch";"B129111";"None";"None"
20674;"B1291112";"Gefaess>Breitform>Sonstige>Zylinderhals>Fuss>engmundig>mittlerer Umbruch";"B1291112";"mittlerer Umbruch";"B129111";"None";"None"
20675;"B1291113";"Gefaess>Breitform>Sonstige>Zylinderhals>Fuss>engmundig>niedriger Umbruch";"B1291113";"niedriger Umbruch";"B129111";"None";"None"
20676;"B129112";"Gefaess>Breitform>Sonstige>Zylinderhals>Fuss>normalmundig";"B129112";"normalmundig";"B12911";"None";"None"
20679;"B1291123";"Gefaess>Breitform>Sonstige>Zylinderhals>Fuss>normalmundig>niedriger Umbruch";"B1291123";"niedriger Umbruch";"B129112";"None";"None"
20680;"B129113";"Gefaess>Breitform>Sonstige>Zylinderhals>Fuss>weitmundig";"B129113";"weitmundig";"B12911";"None";"None"
20681;"B1291131";"Gefaess>Breitform>Sonstige>Zylinderhals>Fuss>weitmundig>hoher Umbruch";"B1291131";"hoher Umbruch";"B129113";"None";"None"
20682;"B1291132";"Gefaess>Breitform>Sonstige>Zylinderhals>Fuss>weitmundig>mittlerer Umbruch";"B1291132";"mittlerer Umbruch";"B129113";"None";"None"
20683;"B1291133";"Gefaess>Breitform>Sonstige>Zylinderhals>Fuss>weitmundig>niedriger Umbruch";"B1291133";"niedriger Umbruch";"B129113";"None";"None"
20634;"B1269432";"Gefaess>Breitform>Metallgef.>Sonstige>flachbodig>weitmundig>mittlerer Umbruch";"B1269432";"mittlerer Umbruch";"B126943";"None";"None"
20635;"B1269433";"Gefaess>Breitform>Metallgef.>Sonstige>flachbodig>weitmundig>niedriger Umbruch";"B1269433";"niedriger Umbruch";"B126943";"None";"None"
20608;"B126923";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>weitmundig";"B126923";"weitmundig";"B12692";"None";"None"
20609;"B1269231";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>weitmundig>hoher Umbruch";"B1269231";"hoher Umbruch";"B126923";"None";"None"
20610;"B1269232";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>weitmundig>mittlerer Umbruch";"B1269232";"mittlerer Umbruch";"B126923";"None";"None"
20611;"B1269233";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>weitmundig>niedriger Umbruch";"B1269233";"niedriger Umbruch";"B126923";"None";"None"
20612;"B126931";"Gefaess>Breitform>Metallgef.>Sonstige>Omphalos>engmundig";"B126931";"engmundig";"B12693";"None";"None"
20613;"B1269311";"Gefaess>Breitform>Metallgef.>Sonstige>Omphalos>engmundig>hoher Umbruch";"B1269311";"hoher Umbruch";"B126931";"None";"None"
20614;"B1269312";"Gefaess>Breitform>Metallgef.>Sonstige>Omphalos>engmundig>mittlerer Umbruch";"B1269312";"mittlerer Umbruch";"B126931";"None";"None"
20615;"B1269313";"Gefaess>Breitform>Metallgef.>Sonstige>Omphalos>engmundig>niedriger Umbruch";"B1269313";"niedriger Umbruch";"B126931";"None";"None"
20616;"B126932";"Gefaess>Breitform>Metallgef.>Sonstige>Omphalos>normalmundig";"B126932";"normalmundig";"B12693";"None";"None"
20618;"B1269322";"Gefaess>Breitform>Metallgef.>Sonstige>Omphalos>normalmundig>mittlerer Umbruch";"B1269322";"mittlerer Umbruch";"B126932";"None";"None"
20619;"B1269323";"Gefaess>Breitform>Metallgef.>Sonstige>Omphalos>normalmundig>niedriger Umbruch";"B1269323";"niedriger Umbruch";"B126932";"None";"None"
20620;"B126933";"Gefaess>Breitform>Metallgef.>Sonstige>Omphalos>weitmundig";"B126933";"weitmundig";"B12693";"None";"None"
20621;"B1269331";"Gefaess>Breitform>Metallgef.>Sonstige>Omphalos>weitmundig>hoher Umbruch";"B1269331";"hoher Umbruch";"B126933";"None";"None"
20623;"B1269333";"Gefaess>Breitform>Metallgef.>Sonstige>Omphalos>weitmundig>niedriger Umbruch";"B1269333";"niedriger Umbruch";"B126933";"None";"None"
20624;"B126941";"Gefaess>Breitform>Metallgef.>Sonstige>flachbodig>engmundig";"B126941";"engmundig";"B12694";"None";"None"
20625;"B1269411";"Gefaess>Breitform>Metallgef.>Sonstige>flachbodig>engmundig>hoher Umbruch";"B1269411";"hoher Umbruch";"B126941";"None";"None"
20626;"B1269412";"Gefaess>Breitform>Metallgef.>Sonstige>flachbodig>engmundig>mittlerer Umbruch";"B1269412";"mittlerer Umbruch";"B126941";"None";"None"
