"h_loc07_id";"form";"dmbreite";"laenge";"hoehe";"grabzahl";"steinkranz";"kreisgraben";"pfosten";"stele";"stratigraphie";"h_bem";"pfostenstellungen"
10232;384;0;0;0;0;f;f;f;f;f;"Huegel 3. teilweise ausgegraben.";f
10265;380;33;0;1.5;0;f;f;f;f;f;"Huegel 1. Schlitz.";f
10266;380;16;0;0.4;0;f;f;f;f;f;"Huegel 2. unberuehrt.";f
10267;380;25;0;2;0;f;f;f;f;f;"Huegel 3. durchgraben.";f
15190;384;25;0;1.8;0;f;f;f;f;f;"stark durchgraben";f
10269;380;18;0;1.2;0;f;f;f;f;f;"Huegel 5. Trichter.";f
10270;380;13;0;0.5;0;f;f;f;f;f;"Huegel 6. Trichter.";f
10271;380;27;0;1.6;0;f;f;f;f;f;"Huegel 7. Kuppe abgetragen.";f
8933;380;25;0;0.6;0;f;f;f;f;f;"Huegel 1. unberuehrt.";f
10247;380;20;0;0.8;0;f;f;f;f;f;"Huegel 2. O-Drittel abgetragen.";f
10248;380;18;0;1;0;f;f;f;f;f;"Huegel 3. grosser Trichter.";f
10249;380;20;0;0.5;0;f;f;f;f;f;"Huegel 4. unberuehrt.";f
10252;380;28;0;0.6;0;f;f;f;f;f;"Huegel 1. unberuehrt.";f
10253;380;30;0;0.6;0;f;f;f;f;f;"Huegel 2. unberuehrt.";f
10254;380;16;0;0.3;0;f;f;f;f;f;"Huegel 3. unberuehrt.";f
10255;380;16;0;0.2;0;f;f;f;f;f;"Huegel 4. unberuehrt.";f
10256;380;16;0;0.2;0;f;f;f;f;f;"Huegel 5. Weg fuehrt darueber.";f
10257;380;26;0;1;0;f;f;f;f;f;"Huegel 6. unberuehrt.";f
10258;380;19;0;0.5;0;f;f;f;f;f;"Huegel 7. Weg fuehrt darueber.";f
16210;384;0;0;0;0;f;f;f;f;f;"";f
2;380;12;0;1.5;0;f;f;f;f;f;"besteht aus 28 Keupersandsteinen von 60-95 cm Länge, 30-60 cm Breite und 15-20 cm Dicke. Die Steinplatten sind alle aufrecht gestellt und stehen in dem blauen Häfnerletten, ein Deckelstein mit einer Schale scheint oben gelegen zu haben.";f
3;380;18;0;2.5;0;f;f;f;f;f;"leer";f
12852;384;0;0;0;0;f;f;f;f;f;"leer";f
12853;384;0;0;0;0;f;f;f;f;f;"leer";f
